treatment_a,treatment_b,cooccur_count,confidence_a_to_b,confidence_b_to_a,lift,pmi,jaccard,smoothed_confidence,confidence_gain,final_weight,pair_rule_level
7,77,248,0.0494812450119712,1.0,15.026935355147646,2.7098442811209567,0.0494812450119712,0.04938927287286401,2.7553361844913256,2.773480286553943,strict_positive
7,26,832,0.1660015961691939,0.4765177548682703,7.16060149798559,1.9685939855426176,0.1403982450219372,0.16571720954389016,2.1246066404556876,2.5314006140909147,strict_positive
7,22,881,0.1757781324820431,0.4413827655310621,6.632630284511561,1.8920014501857267,0.1437897829280235,0.17548088814183405,2.056404421976873,2.4883835801076075,strict_positive
7,12,1352,0.2697525937749401,0.3750346740638002,5.635621803095594,1.7291074880048165,0.1860977288368892,0.269310763900869,1.9921861583570446,2.48387935794605,strict_positive
7,36,568,0.1133280127693535,0.4536741214057508,6.817331694667622,1.919468148182064,0.0997191011235955,0.11313545104454825,2.0210673286393046,2.3999083787639144,strict_positive
7,81,65,0.0129688747007182,0.3611111111111111,5.426393322692205,1.6912747001263837,0.0126779793251414,0.01294780956224399,1.7002886357504376,1.6630562747808502,positive
7,20,297,0.0592577813248204,0.1398963730569948,2.10221375434708,0.7429909582204001,0.0434337525592278,0.05919591452789298,0.7743735511254553,1.3828999121458765,strict_positive
71,84,158,0.5663082437275986,0.9186046511627908,247.9738684671168,5.513323371529063,0.5392491467576792,0.5467918249694995,6.267370353598305,4.947091726856371,strict_positive
72,75,90,0.3260869565217391,0.3614457831325301,98.63148245154532,4.5913905052853226,0.2068965517241379,0.31480091308810687,4.930901092290986,3.868389671951337,strict_positive
73,89,93,0.3394160583941605,0.6595744680851063,181.2987265103277,5.200146093523933,0.2888198757763975,0.32753070905015835,5.559426187448624,4.313000419878071,strict_positive
73,106,20,0.072992700729927,0.2127659574468085,58.48346016462184,4.068743982032832,0.057471264367816,0.07046648208977693,4.105345242754584,2.4951139465721694,strict_positive
8,37,771,0.1613983671760519,0.6686903729401561,10.542686924427016,2.355432437041224,0.1494475673580151,0.1610931878742108,2.51376802240935,2.806039210319281,strict_positive
8,80,234,0.0489847184425371,1.0,15.766171237178146,2.757866583746954,0.0489847184425371,0.04888888019805016,2.802920765252094,2.793331948544541,strict_positive
8,13,708,0.148210173749215,0.2024013722126929,3.191094692945148,1.160364021862126,0.0935641601691555,0.14799758707183747,1.2715364513966185,1.882276060150218,strict_positive
81,132,41,0.2277777777777777,1.0,418.4166666666667,6.036477746246705,0.2277777777777777,0.21581812527734393,6.225113065810772,4.251867051195468,strict_positive
82,87,143,0.8033707865168539,1.0,423.1179775280899,6.04765104684483,0.8033707865168539,0.7607392921361488,7.42142639789696,5.53655221966645,strict_positive
89,126,48,0.3404255319148936,1.0,534.1489361702128,6.280674706758747,0.3404255319148936,0.3179230015392306,6.594262727307046,4.58207224851451,strict_positive
9,81,66,0.0139211136890951,0.3666666666666666,5.824825986078887,1.7621291253710123,0.0135942327497425,0.013896842690294533,1.7719856221738066,1.7149336046460764,positive
93,113,72,0.5669291338582677,1.0,593.0314960629921,6.385247510678324,0.5669291338582677,0.5256172251725236,7.054370737405251,5.092804479505613,strict_positive
93,153,16,0.1259842519685039,1.0,593.0314960629921,6.385247510678324,0.1259842519685039,0.11680382781611635,6.433581912020408,3.49723321356724,strict_positive
98,105,94,0.8867924528301887,1.0,710.5188679245283,6.5659955030248485,0.8867924528301887,0.8104524216680745,8.137843515009306,5.743436162220214,strict_positive
98,123,12,0.1132075471698113,0.2181818181818181,155.02229845626073,5.043568967580378,0.0805369127516778,0.10351122984614046,5.062565220017032,2.5615975738694594,strict_positive
99,107,62,0.5849056603773585,0.6739130434782609,478.82793273174735,6.1713413110209,0.4558823529411764,0.5345880634667729,6.844997314233987,4.839006226752362,strict_positive
